Info 270  [11:3:17.12] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 66 structureChanged: false Elapsed: 23ms
Info 271  [11:3:17.12] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 272  [11:3:17.126] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 273  [11:3:17.146] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 67 structureChanged: false Elapsed: 20ms
Info 274  [11:3:17.146] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 275  [11:3:17.256] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 276  [11:3:17.288] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 68 structureChanged: false Elapsed: 32ms
Info 277  [11:3:17.288] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 278  [11:3:17.357] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 279  [11:3:17.377] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 69 structureChanged: false Elapsed: 20ms
Info 280  [11:3:17.378] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 281  [11:3:17.458] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 282  [11:3:17.483] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 70 structureChanged: false Elapsed: 25ms
Info 283  [11:3:17.483] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 284  [11:3:17.612] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 285  [11:3:17.634] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 71 structureChanged: false Elapsed: 22ms
Info 286  [11:3:17.634] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 287  [11:3:17.864] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 288  [11:3:17.889] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 72 structureChanged: false Elapsed: 25ms
Info 289  [11:3:17.889] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 290  [11:3:18.537] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 291  [11:3:18.563] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 73 structureChanged: false Elapsed: 26ms
Info 292  [11:3:18.563] Different program with same set of files:: oldProgram.structureIsReused:: 2
